DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
USA,AXM,9512,1046447,4224705364
PAN,AXM,1222,1212543,4895266473
DEU,BOG,480,3000,12111570
DEU,BOG,90,6345,256159705
DEU,BOG,60,228,92047932
DEU,BOG,270,9405,379697719
DEU,BOG,12042,69029,2761229793
DEU,BOG,64,296,119500824
DEU,BOG,32,9256,3684508152
DEU,BOG,9,5175,2059996725
DEU,BOG,9,3267,1300484889
DEU,BOG,16,4560,181518552
DEU,BOG,1380,10935,434783978
DEU,BOG,28995,159991,654735969
DEU,BOG,50,4930,202947887
DEU,BOG,245,54726,2252845043
DEU,BOG,20,6256,2575338704
DEU,BOG,20,3604,1483619036
DEU,BOG,20,4216,1735554344
DEU,BOG,20,3332,1371647788
DEU,BOG,20,3332,1371647788
DEU,BOG,100,7780,320270702
DEU,BOG,10881,1577745,6369656337
DEU,BOG,1,252646,1008029748
DEU,BOG,27,60,2470626
DEU,BOG,9,20,823542
DEU,BOG,1300,200,811388
DEU,BOG,38160,61024,2493573432
DEU,BOG,62,998719,4056678656
DEU,BOG,5600,1008,409831632
DEU,BOG,12480,22464,913339065
DEU,BOG,13,148447,588380075
DEU,BOG,2560,4608,187091712
DEU,BOG,50,18500,74688015
DEU,BOG,44787,1391765,563972522
DEU,BOG,1800,297,118112148
DEU,BOG,10080,1808,721040767
DEU,BOG,165,504,19976392
DEU,BOG,375,104,41221128
DEU,BOG,20,50,1981785
DEU,BOG,82,320,12683424
DEU,BOG,24,88,34879416
DEU,BOG,1195,583,231076131
DEU,BOG,11984,53801,2132440295
DEU,BOG,13,70,2774499
DEU,BOG,75,285,11296174
DEU,BOG,2,28745,118331379
DEU,BOG,1,56833,233958159
DEU,BOG,1,19419,79940061
DEU,BOG,986,8815493,3628977033
DEU,BOG,9,32555,134015587
DEU,BOG,1,4102,16886252
DEU,BOG,2,633136,2606361325
DEU,BOG,6,687384,2829678097
DEU,BOG,1,37212,153100959
DEU,BOG,5,875308,3601270949
DEU,BOG,19660,65492,2633087608
DEU,BOG,3,223831,905286716
DEU,BOG,2,74698,296070751
DEU,BOG,4,450,17877985
DEU,BOG,1,1457,599787163
DEU,BOG,1,37419,154038681
DEU,BOG,38,745653,3051458141
DEU,BOG,1,50,200253
DEU,BOG,1,50,200253
DEU,BOG,21600,29429,1188104645
DEU,BOG,58200,877565,3554730417
DEU,BOG,560,492156,2014064763
DEU,BOG,80964,348736,1391418279
DEU,BOG,3,103155,4100504089
DEU,BOG,4,13933,5638838363
DEU,BOG,5,1886035,7632991108
DEU,BOG,6000,1140,46482816
DEU,BOG,14400,2736,1115587584
DEU,BOG,17,2679,10649266
DEU,BOG,1,8283,3292567
DEU,BOG,1,51437,204466704
DEU,BOG,498,2143,8518617
DEU,BOG,16,9543,37934277
DEU,BOG,772,3858,15335896
DEU,BOG,312,2271,9027424
DEU,BOG,8,804,319597
DEU,BOG,16,172,683714
DEU,BOG,2,5111,20316684
DEU,BOG,2,7287,2896648
DEU,BOG,2,35464,14097259
DEU,BOG,1,12216,48559699
DEU,BOG,1,7351,29220886
DEU,BOG,1,33434,132903159
DEU,BOG,20,64296,255582386
DEU,BOG,1,2572,10223931
DEU,BOG,29,555615,2208619616
DEU,BOG,14,216,858619
DEU,BOG,2,949821,3907839042
DEU,BOG,1,182361,750286038
DEU,BOG,5,1400464,576191503
DEU,BOG,145,725,29412815
DEU,BOG,2,219678,873239821
DEU,BOG,101,631488,2510221623
DEU,BOG,16,262548,1061878011
DEU,BOG,24320,47168,1923246899
DEU,BOG,3231,497205,1977304731
DEU,BOG,58360,105768,4343605351
DEU,BOG,1,547088,2165248473
DEU,BOG,10530,18954,769332945
DEU,BOG,79320,1444264,5757952701
DEU,BOG,2050,369,146745396
DEU,BOG,11100,27806,110580013
DEU,BOG,2250,1202,491898066
DEU,BOG,1,92412,365745441
DEU,BOG,510,7701,306256448
DEU,BOG,97812,55138,2248218867
DEU,BOG,300,19183,789900309
DEU,BOG,3,2804041,1114631534
DEU,BOG,11,11398151,4530867606
DEU,BOG,1,4499933,1832199473
DEU,BOG,1,300,1213353
DEU,BOG,1056,6336,2606814144
DEU,BOG,1836,994896,4070806538
DEU,BOG,200,1200,4937148
DEU,BOG,1224,6357,2615454153
DEU,BOG,12,471,19123306
DEU,BOG,2139,12960,527173464
DEU,BOG,597,1622,657911239
DEU,BOG,16172,9647492,3929434876
DEU,BOG,6400,832,333220992
DEU,BOG,9,4785,18965682
DEU,BOG,48,2912,115419158
DEU,BOG,125,395,15656101
DEU,BOG,280,2114,837898698
DEU,BOG,118,86828,344148855
DEU,BOG,25,129,51130053
DEU,BOG,338,2163,85732019
DEU,BOG,2625,1873,742376661
DEU,BOG,1446,95815,379769458
DEU,BOG,59,5407675,2190656283
DEU,BOG,400,114,46023966
DEU,BOG,10440,16704,674372217
DEU,BOG,91440,136908,5514154033
DEU,BOG,559,474033,1939899466
DEU,BOG,2720,36992,149710693
DEU,BOG,4420,60554,245068698
DEU,BOG,5780,7514,300940208
DEU,BOG,9520,12376,495666225
DEU,BOG,4760,14825,590134327
DEU,BOG,11970,19152,759102926
DEU,BOG,58440,93504,3706096492
DEU,BOG,8160,2448,976725072
DEU,BOG,4,4400,17981766
DEU,BOG,1820,14875,5895810375
DEU,BOG,1280,128,5107059
DEU,BOG,16070,45565,1843549145
DEU,BOG,8050,24594,979005979
DEU,BOG,333354,285838411,11575369464
DEU,BOG,43517,823212,3329489166
DEU,BOG,2261524,301306,1225046922
DEU,BOG,107804,111164,449603909
ARM,BOG,50,5,202847
ARM,BOG,100,10,398067
ARM,BOG,70,7,2786469
ARM,BOG,60,6,2388402
ARM,BOG,1173,15,5971005
ARM,BOG,400,68,27030612
ARM,BOG,8640,26784,1081320969
ARM,BOG,400,74,30173056
ARM,BOG,1800,331,134963264
ARM,BOG,560,18384,747454833
ARM,BOG,60,138,56107902
ARM,BOG,970,1552,61720556
ARM,BOG,38505,584225,2323369349
